,fight_id,round,KOL_blue,TDA_blue,SMA_blue,ST_blue,SSBA_blue,SSA_blue,SSHA_blue,SSHL_blue,SML_blue,SGHL_blue,GRC_blue,TDL_blue,SGHA_blue,SSBL_blue,SGA_blue,SGBA_blue,RVL_blue,KDL_blue,SGBL_blue,SUL_blue,FT_blue,KOL_red,TDA_red,SMA_red,ST_red,SSBA_red,SSA_red,SSHA_red,SSHL_red,SML_red,SGHL_red,GRC_red,TDL_red,SGHA_red,SSBL_red,SGA_red,SGBA_red,RVL_red,KDL_red,SGBL_red,SUL_red,FT_red,blue,red
0,5485,1,1,3,0,203,5,25,19,10,0,7,66,1,10,2,10,0,0,2,0,1,66,0,1,0,203,1,14,12,4,0,0,1,0,0,1,0,0,0,1,0,2,66,1944,965
0,6336,1,0,0,0,123,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,123,0,1,1,0,0,8,176,1,11,0,17,6,0,0,6,0,0,1944,1386
1,6336,2,0,0,0,232,6,31,25,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,232,7,22,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1944,1386
2,6336,3,0,0,0,299,7,47,37,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,299,0,32,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,1386
3,6336,4,0,1,0,128,4,11,6,3,0,1,125,0,8,0,8,0,0,0,0,1,125,0,0,2,128,5,28,23,13,0,11,23,0,13,3,13,0,0,1,0,0,125,1944,1386
4,6336,5,0,0,0,300,11,60,47,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,300,3,28,22,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1944,1386
5,6497,1,0,0,0,300,2,19,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,3,12,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1944,1386
6,6497,2,0,0,0,300,4,24,19,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,5,16,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1944,1386
7,6497,3,0,0,0,192,9,28,18,4,0,0,0,0,0,9,0,0,0,0,0,1,0,0,2,0,192,3,16,13,1,0,7,87,1,7,2,12,5,0,0,5,0,0,1944,1386
8,6497,4,0,0,0,300,4,34,29,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,10,22,12,1,0,0,0,0,0,8,0,0,0,0,0,0,0,1944,1386
9,6497,5,0,0,0,290,5,41,34,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,290,3,38,35,10,0,6,7,0,8,0,9,1,0,1,1,0,0,1944,1386
0,9137,1,0,0,0,90,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,90,2,7,5,2,0,4,86,1,4,1,5,1,0,0,1,0,0,1944,2288
1,9137,2,0,0,0,268,6,29,21,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,268,1,18,9,2,0,0,32,1,0,0,0,0,0,0,0,0,0,1944,2288
2,9137,3,0,0,0,109,0,20,20,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,109,0,5,3,1,0,8,156,1,8,0,8,0,0,0,0,0,0,1944,2288
0,7197,1,0,0,0,300,2,18,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,300,2,12,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1944,2544
1,7197,2,0,0,0,300,5,28,22,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,300,3,25,13,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1944,2544
2,7197,3,0,0,0,300,5,31,24,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,2,32,25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,2544
3,7197,4,0,0,0,301,3,26,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,301,1,33,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,2544
4,7197,5,0,1,0,295,4,23,17,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,295,4,24,17,5,0,0,6,0,0,2,0,0,0,1,0,0,6,1944,2544
0,8135,1,0,0,0,301,3,50,42,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,301,6,67,35,10,0,0,0,0,0,6,0,0,0,0,0,0,0,1944,2588
1,8135,2,0,0,0,300,8,91,82,43,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,300,9,61,34,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1944,2588
2,8135,3,0,0,0,288,12,89,76,34,0,9,11,0,12,11,12,0,0,1,0,0,0,0,0,0,288,3,47,38,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1944,2588
0,9576,1,0,0,0,112,2,14,12,7,0,1,0,0,2,2,2,0,0,0,0,3,143,0,4,0,112,1,8,5,1,0,41,143,3,64,1,64,0,0,0,0,0,143,1944,2778
1,9576,2,0,0,0,72,2,11,9,5,0,0,0,0,0,2,0,0,0,0,0,2,228,0,2,1,72,0,3,3,0,0,10,228,2,13,0,13,0,0,0,0,0,228,1944,2778
2,9576,3,0,1,0,65,1,5,4,1,0,0,6,0,0,1,0,0,0,0,0,2,228,0,3,0,65,0,0,0,0,0,4,228,2,7,0,7,0,0,0,0,0,228,1944,2778
0,8861,1,0,0,0,300,9,66,54,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,300,0,30,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,2963
1,8861,2,0,0,0,300,12,70,57,17,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,300,5,25,16,8,0,0,0,0,0,4,0,0,0,0,0,0,0,1944,2963
2,8861,3,0,0,0,300,8,80,72,27,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,300,2,33,31,13,0,0,0,0,0,2,0,0,0,0,0,0,0,1944,2963
3,8861,4,0,0,0,300,10,75,65,25,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,300,2,31,28,13,0,0,0,0,0,1,0,0,0,0,0,0,0,1944,2963
4,8861,5,0,0,0,300,7,115,106,40,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,300,2,60,57,31,0,0,0,0,0,1,0,0,0,0,0,0,0,1944,2963
0,10174,1,0,0,0,300,10,47,31,21,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,300,13,70,39,22,0,0,0,0,0,11,0,0,0,0,0,0,0,1944,3086
1,10174,2,0,0,0,293,11,67,53,25,0,0,0,0,0,10,0,0,0,0,0,1,3,0,1,0,293,5,66,45,16,0,0,3,1,0,4,0,0,0,0,0,0,3,1944,3086
2,10174,3,0,0,0,290,7,76,66,34,0,0,0,0,0,6,0,0,0,0,0,1,4,0,1,0,290,5,50,32,9,0,0,4,1,0,4,0,0,0,0,0,0,4,1944,3086
3,10174,4,1,0,0,263,21,70,42,23,0,0,19,0,0,18,0,0,0,0,0,0,0,0,4,0,263,6,24,15,5,0,0,0,0,0,4,0,0,0,0,0,0,0,1944,3086
0,10966,1,0,0,0,95,4,14,7,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,95,4,20,16,9,0,0,0,0,0,3,0,0,0,0,0,0,0,1944,3417
1,10966,2,0,0,0,36,3,9,6,1,0,2,0,0,2,3,2,0,0,0,0,0,0,0,3,2,36,1,3,2,2,1,13,183,1,13,1,13,0,0,0,0,0,0,1944,3417
0,11609,1,0,0,0,274,2,28,25,12,0,0,0,0,0,2,0,0,0,0,0,2,26,0,3,0,274,4,26,21,5,0,0,26,2,0,1,0,0,0,0,0,0,26,1944,3536
1,11609,2,0,0,0,283,2,44,40,18,0,0,0,0,1,2,1,0,0,0,0,2,14,0,4,0,283,4,33,29,8,0,0,14,2,0,4,0,0,0,0,0,0,14,1944,3536
2,11609,3,0,0,0,135,5,33,27,8,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,135,4,32,26,9,0,1,2,0,2,4,2,0,0,1,0,0,2,1944,3536
0,12165,1,0,0,0,240,7,22,11,1,0,0,11,0,2,3,2,0,1,0,0,1,49,0,3,0,240,1,24,7,3,0,0,49,2,0,0,0,0,0,0,0,1,49,1944,3908
1,12165,2,0,0,0,295,8,45,33,16,0,2,2,0,2,7,2,0,0,0,0,1,3,0,5,0,295,0,30,20,7,0,0,3,1,0,0,0,0,0,0,0,0,3,1944,3908
2,12165,3,0,2,0,259,5,21,13,2,0,0,3,0,0,4,0,0,0,0,0,2,26,0,6,0,259,5,18,9,2,0,0,26,2,0,5,0,0,0,0,0,0,26,1944,3908
0,7376,1,0,0,0,124,2,14,8,6,0,0,21,0,0,2,0,0,0,0,0,1,0,1,0,0,124,1,23,21,7,0,10,0,0,12,1,12,0,0,2,0,0,0,965,2263
0,9017,1,0,1,0,188,12,40,27,7,0,0,0,0,0,10,0,0,0,0,0,0,26,0,0,1,188,11,33,22,15,1,0,26,0,0,10,0,0,0,0,0,0,26,1386,2588
0,5273,1,0,1,0,269,3,15,9,1,0,2,26,1,2,2,2,0,0,0,0,0,0,0,0,0,269,2,35,32,8,0,0,0,0,0,1,0,0,0,0,0,1,0,2288,2469
1,5273,2,0,3,0,229,3,25,19,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,229,2,40,34,14,0,0,0,0,0,2,0,0,0,0,0,0,0,2288,2469
2,5273,3,0,1,2,9,0,0,0,0,1,2,137,1,2,0,2,0,0,0,0,0,107,0,0,0,9,0,1,1,0,0,0,105,0,0,0,0,0,0,0,0,0,107,2288,2469
0,10522,1,0,1,0,300,4,31,22,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,9,39,29,9,0,0,0,0,0,9,0,0,0,0,0,0,0,2288,2778
1,10522,2,0,0,0,300,0,28,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,7,51,44,11,0,0,0,0,0,7,0,0,0,0,0,0,0,2288,2778
2,10522,3,0,0,0,300,4,22,14,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,6,59,53,20,0,0,0,0,0,5,0,0,0,0,0,0,0,2288,2778
3,10522,4,0,2,0,300,4,23,12,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,300,10,54,44,18,0,0,0,0,0,10,0,0,0,0,0,0,0,2288,2778
4,10522,5,0,1,0,300,4,43,30,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,300,9,80,71,34,0,0,0,0,0,8,0,0,0,0,0,0,0,2288,2778
0,11113,1,0,3,0,225,9,34,22,8,0,1,30,3,1,7,1,0,0,0,0,0,0,0,1,0,225,3,38,33,13,0,0,0,0,0,3,0,0,0,0,0,3,0,2288,3753
1,11113,2,0,2,0,199,2,20,17,7,0,0,89,2,0,1,0,0,0,0,0,0,2,0,0,0,199,11,48,36,15,0,0,0,0,0,5,0,0,0,0,0,2,2,2288,3753
2,11113,3,0,6,0,73,0,3,3,0,0,0,91,2,0,0,0,0,0,0,0,0,17,1,0,0,73,1,20,18,10,0,16,16,0,17,1,17,0,0,1,0,2,17,2288,3753
0,5656,1,0,0,0,268,7,29,21,13,0,4,6,0,8,5,11,3,0,1,3,0,6,0,0,0,268,5,33,22,6,0,0,0,0,0,2,0,0,0,0,0,1,6,2544,2509
1,5656,2,0,1,0,248,6,28,15,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,248,10,37,21,4,0,0,1,0,0,3,0,0,0,0,0,0,0,2544,2509
2,5656,3,0,2,0,156,2,20,18,8,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,156,4,72,67,37,0,21,67,2,28,2,28,0,0,0,0,0,0,2544,2509
0,7643,1,0,0,2,235,5,64,55,28,0,0,36,0,0,5,0,0,1,0,0,0,31,0,1,0,235,3,52,45,15,0,8,31,0,15,3,15,0,0,1,0,1,31,2588,2263
1,7643,2,0,0,0,299,5,79,72,45,0,3,0,0,4,5,4,0,0,0,0,0,0,0,0,0,299,13,140,125,63,0,0,0,0,0,9,0,0,0,0,0,0,0,2588,2263
2,7643,3,1,0,0,291,7,90,74,52,0,4,4,0,4,7,4,0,0,1,0,0,0,0,0,0,291,7,148,139,60,0,0,0,0,0,4,0,0,0,0,0,0,0,2588,2263
0,5592,1,0,0,0,87,2,24,18,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,87,5,18,11,6,0,4,125,3,6,3,6,0,0,0,0,0,0,2588,2586
1,5592,2,0,0,0,78,1,15,14,7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,0,78,1,13,12,7,0,3,160,3,3,0,3,0,0,0,0,0,0,2588,2586
