,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
0,7658,1,0,0,4,0,1,28,0,0,156,1,0,0,0,0,1,6,10,9,1,0,17,0,0,0,118,1,17,1,0,156,4,0,3,0,0,4,2,3,2,4,0,7,1504,911
1,7658,2,52,0,2,52,0,35,0,0,171,0,0,3,0,0,0,8,13,11,7,0,22,52,0,2,38,0,22,0,0,171,0,0,1,0,1,0,4,5,4,4,0,13,1504,911
2,7658,3,29,0,3,29,2,15,0,4,88,4,0,0,4,1,8,4,5,4,0,0,10,29,0,0,174,0,7,0,0,88,0,0,3,0,1,0,0,0,0,4,0,6,1504,911
0,6259,1,159,0,0,159,0,6,0,0,21,1,0,0,0,1,1,0,1,1,1,0,4,159,1,1,121,0,5,0,1,21,0,0,1,1,0,1,0,0,0,1,0,4,1504,2011
1,6259,2,0,0,0,0,0,11,0,0,49,0,0,0,0,0,0,1,2,2,1,0,9,0,0,0,251,0,9,0,0,49,0,0,0,0,0,0,0,0,0,1,0,9,1504,2011
2,6259,3,18,0,0,18,2,41,0,0,108,6,0,0,0,1,6,4,5,1,0,0,33,18,1,1,162,0,19,0,0,108,0,0,0,0,0,0,2,2,1,1,0,14,1504,2011
0,5933,1,11,0,2,1,1,49,0,0,286,1,0,0,0,0,1,8,7,6,2,0,40,11,0,0,11,0,45,0,0,286,0,0,2,0,0,0,8,2,2,6,0,40,1504,2095
1,5933,2,65,0,1,4,0,46,0,0,230,0,0,0,0,0,0,14,8,5,3,0,38,65,0,0,65,0,44,0,0,230,0,0,1,0,0,0,14,3,3,7,0,38,1504,2095
2,5933,3,129,0,6,2,1,32,0,0,168,2,0,1,0,0,2,7,2,2,1,0,30,129,0,1,129,8,23,0,1,168,11,0,6,1,0,13,6,1,1,10,0,22,1504,2095
0,7252,1,0,0,0,4,3,36,1,0,225,7,1,0,0,0,7,3,2,0,0,0,30,0,0,0,0,0,16,0,0,225,0,0,0,0,0,0,2,5,2,0,0,8,1504,2578
0,6551,1,20,0,0,89,0,15,0,1,39,0,0,3,1,1,1,0,1,0,9,0,8,20,1,3,20,2,13,0,0,39,2,0,0,0,1,2,4,1,1,0,0,11,1504,2825
1,6551,2,82,0,0,44,0,43,0,1,121,0,0,1,1,0,1,3,2,0,1,0,33,82,1,1,82,4,47,1,2,121,9,0,0,1,0,11,4,4,3,0,1,38,1504,2825
0,6999,1,229,0,0,42,1,7,0,1,29,1,0,1,1,1,2,0,0,0,1,0,6,229,2,1,220,2,6,0,1,29,2,0,0,1,1,3,2,1,1,0,0,5,1504,2858
1,6999,2,14,0,0,112,0,50,0,0,127,1,0,4,0,0,3,13,6,4,8,0,39,14,0,4,14,0,34,0,0,127,0,0,0,0,0,0,7,3,2,0,0,28,1504,2858
2,6999,3,173,0,1,61,3,11,0,1,39,5,0,2,1,1,7,2,2,2,3,0,7,173,0,2,173,0,6,0,0,39,0,0,1,0,1,0,2,0,0,1,0,6,1504,2858
0,8279,1,19,0,1,10,0,60,0,0,269,0,0,0,0,0,0,21,7,5,2,0,45,19,1,0,19,0,28,0,0,269,0,0,1,0,0,0,10,6,5,1,0,22,911,2878
1,8279,2,2,0,0,0,0,34,0,0,111,0,0,0,0,0,0,7,6,3,0,0,18,2,0,0,2,3,18,1,0,111,3,1,0,0,0,3,5,4,2,0,0,14,911,2878
2,8536,1,0,0,1,0,0,28,0,0,145,0,0,0,0,0,0,8,7,5,0,0,15,0,4,0,131,23,16,2,0,145,24,0,0,0,0,24,8,4,4,0,1,12,911,2878
0,7589,1,2,0,1,53,13,52,0,2,182,18,1,1,2,0,20,7,15,9,2,0,30,2,0,0,2,0,32,0,0,182,0,0,1,0,0,0,5,9,7,1,0,21,911,2969
0,8997,1,29,0,1,0,0,54,0,0,271,0,0,0,0,0,0,5,23,8,0,0,23,29,0,0,29,0,26,0,0,271,0,0,1,0,0,0,13,8,7,2,0,17,911,3372
1,8997,2,188,0,4,0,1,18,0,0,112,1,0,0,0,0,1,4,4,4,0,0,12,188,0,0,188,3,18,0,0,112,5,0,4,0,0,6,9,2,2,4,0,14,911,3372
2,8997,3,0,0,0,0,0,41,0,0,300,0,0,0,0,0,0,3,14,9,0,0,21,0,0,0,0,0,38,0,0,300,0,0,0,0,0,0,14,8,5,0,0,29,911,3372
0,5432,1,0,0,0,16,0,32,0,0,283,0,0,1,0,0,0,7,0,0,1,0,31,0,0,1,0,0,28,0,0,283,3,0,0,0,0,3,3,2,1,3,0,22,2011,2095
1,5432,2,86,0,1,51,4,7,1,0,156,5,0,2,0,0,5,5,0,0,2,0,7,86,0,2,86,2,8,0,0,156,3,0,0,0,1,3,1,1,1,4,0,4,2011,2095
2,5432,3,0,0,0,16,0,10,0,0,285,0,0,1,0,0,0,3,1,1,2,0,9,0,0,1,0,0,24,0,0,285,0,0,0,0,0,0,6,7,5,2,0,15,2011,2095
0,6771,1,0,2,0,93,0,22,0,0,177,0,0,1,0,0,0,6,1,1,1,1,18,0,0,0,0,0,32,0,0,177,0,0,0,0,0,0,6,13,9,0,0,16,2011,2296
0,8288,1,161,1,0,58,1,3,0,0,82,1,0,0,0,1,1,1,0,0,0,0,2,161,0,1,161,8,15,0,0,82,11,0,0,0,0,11,3,1,0,1,0,14,2011,2825
1,8288,2,58,0,1,26,0,8,0,1,110,0,0,1,1,0,1,3,1,1,6,0,6,58,0,0,58,1,23,0,0,110,1,0,0,0,1,1,7,3,3,1,0,20,2011,2825
