,fight_id,round,KOL_blue,TDA_blue,SMA_blue,ST_blue,SSBA_blue,SSA_blue,SSHA_blue,SSHL_blue,SML_blue,SGHL_blue,GRC_blue,TDL_blue,SGHA_blue,SSBL_blue,SGA_blue,SGBA_blue,RVL_blue,KDL_blue,SGBL_blue,SUL_blue,FT_blue,KOL_red,TDA_red,SMA_red,ST_red,SSBA_red,SSA_red,SSHA_red,SSHL_red,SML_red,SGHL_red,GRC_red,TDL_red,SGHA_red,SSBL_red,SGA_red,SGBA_red,RVL_red,KDL_red,SGBL_red,SUL_red,FT_red,blue,red
4,6038,5,0,0,0,268,7,76,68,31,0,1,14,0,1,4,1,0,0,0,0,0,0,0,3,0,268,2,30,28,10,0,0,0,0,0,1,0,0,0,0,0,0,0,2280,2277
0,5246,1,0,0,0,253,1,39,38,9,0,2,0,0,2,0,2,0,0,0,0,1,0,0,9,0,253,2,12,9,2,0,0,11,1,0,1,0,0,0,0,0,0,0,2280,2338
1,5246,2,1,0,0,217,3,61,58,36,0,3,17,0,3,3,3,0,0,0,0,0,17,0,8,0,217,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,0,17,2280,2338
0,7262,1,0,0,0,177,11,27,16,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,177,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,2340
1,7262,2,0,0,0,297,11,66,46,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,297,2,42,23,8,0,0,0,0,0,2,0,0,0,0,0,0,0,2280,2340
2,7262,3,0,0,0,290,16,73,51,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,290,0,33,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,2340
0,5480,1,0,0,0,241,5,40,32,10,0,2,60,0,3,4,7,0,0,0,0,0,0,0,5,0,241,4,26,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2280,2341
1,5480,2,0,0,0,260,10,81,62,40,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,260,5,33,26,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2280,2341
2,5480,3,1,0,0,252,7,74,56,29,0,0,7,0,2,6,2,0,0,0,0,0,2,0,2,0,252,5,29,23,5,0,0,2,0,0,2,0,0,0,0,0,0,2,2280,2341
0,6889,1,0,0,0,162,2,42,37,2,0,0,0,0,0,1,0,0,0,0,0,0,19,1,0,0,162,0,24,22,7,0,7,19,0,10,0,10,0,0,1,0,0,19,2280,2344
1,7105,1,0,0,0,299,4,67,51,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,299,7,64,55,15,0,0,0,0,0,5,0,0,0,0,0,0,0,2280,2344
2,7105,2,0,0,0,269,13,60,36,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,269,3,45,41,19,0,0,0,0,0,1,0,0,0,0,0,0,0,2280,2344
3,7105,3,0,0,0,301,7,68,45,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,301,5,60,54,15,0,0,0,0,0,3,0,0,0,0,0,0,0,2280,2344
4,7105,4,0,0,0,299,8,77,55,19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,299,8,62,53,16,0,0,0,0,0,5,0,0,0,0,0,0,0,2280,2344
5,7105,5,0,0,0,276,5,84,70,15,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,276,1,70,67,20,0,0,25,1,0,1,0,0,0,0,0,0,0,2280,2344
0,6325,1,0,0,0,271,19,68,32,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,271,5,46,40,5,0,0,0,0,0,2,0,0,0,0,0,0,0,2280,2678
1,6325,2,0,0,0,275,11,63,33,10,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,275,5,32,24,3,0,0,0,0,0,2,0,0,0,0,0,0,0,2280,2678
2,6325,3,0,0,0,257,18,70,38,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,257,6,34,24,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2280,2678
3,6325,4,0,1,0,261,16,70,33,12,0,0,3,1,0,12,0,0,0,0,0,0,0,0,0,0,261,4,58,53,21,0,0,0,0,0,4,0,0,0,0,0,1,0,2280,2678
4,6325,5,0,0,0,226,17,89,55,22,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,226,2,50,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2280,2678
0,8249,1,0,0,0,299,7,64,32,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,299,5,76,47,14,0,0,0,0,0,2,0,0,0,0,0,0,0,2280,3099
1,8249,2,0,0,0,268,11,62,43,15,0,0,0,0,0,10,0,0,0,0,0,1,0,0,5,0,268,3,65,47,12,0,0,3,1,0,2,0,0,0,0,0,0,0,2280,3099
2,8249,3,0,0,0,274,12,76,48,17,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,274,2,73,53,19,0,0,7,0,0,1,0,0,0,0,0,0,0,2280,3099
3,8249,4,0,0,0,290,5,79,60,28,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,290,3,91,75,27,0,0,0,0,0,3,0,0,0,0,0,0,0,2280,3099
4,8249,5,0,0,0,294,12,79,47,23,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,294,9,103,83,24,0,0,0,0,0,3,0,0,0,0,0,0,0,2280,3099
5,9804,1,0,0,0,141,2,39,28,14,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,141,3,28,20,6,0,35,130,3,38,2,38,0,0,0,0,0,0,2280,3099
6,9804,2,0,0,0,138,7,46,28,6,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,138,12,36,22,11,0,0,0,0,0,10,0,0,0,1,0,0,0,2280,3099
0,6004,1,0,1,0,100,1,4,3,2,0,3,199,1,7,0,9,2,0,0,2,0,0,0,2,0,100,3,9,6,4,0,3,0,0,6,3,6,0,0,0,0,1,0,2338,2279
1,6004,2,0,3,0,90,1,6,5,1,0,2,208,1,3,0,5,2,0,0,2,1,2,0,1,0,90,3,9,6,2,0,4,2,0,7,2,7,0,1,0,0,0,2,2338,2279
2,6004,3,0,3,0,53,0,5,5,3,0,4,166,3,4,0,13,9,0,0,9,1,80,0,0,0,53,0,5,5,1,0,4,80,0,4,0,7,2,1,0,2,2,80,2338,2279
0,7145,1,0,2,0,167,0,35,29,8,0,0,73,0,1,0,1,0,0,0,0,1,73,0,1,1,167,0,24,24,11,0,1,60,1,3,0,4,1,0,0,1,0,73,2338,2277
1,7145,2,0,1,0,128,1,23,19,8,0,4,7,1,4,1,4,0,0,0,0,2,8,0,3,0,128,1,14,13,3,0,1,149,2,1,0,1,0,0,0,0,1,8,2338,2277
2,7145,3,0,1,0,157,2,33,29,9,0,4,66,1,7,2,7,0,0,0,0,1,66,0,1,0,157,3,21,18,7,0,0,63,1,0,2,0,0,0,0,0,1,66,2338,2277
0,11627,1,0,3,0,128,2,26,24,4,0,0,172,1,0,2,0,0,0,0,0,0,0,0,0,0,128,3,38,32,8,0,0,0,0,0,3,0,0,0,0,0,1,0,2338,2340
1,11627,2,0,3,0,271,4,43,35,6,0,0,16,2,0,2,0,0,0,0,0,0,0,0,0,0,271,5,55,37,14,0,0,0,0,0,5,0,0,0,0,0,2,0,2338,2340
2,11627,3,0,1,0,281,0,44,43,14,0,6,19,1,10,0,10,0,0,0,0,0,0,0,0,0,281,4,57,23,6,0,0,0,0,0,3,0,0,0,0,0,1,0,2338,2340
0,9758,1,0,0,0,300,0,19,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1,19,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,2344
1,9758,2,0,1,0,300,2,22,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,300,0,14,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,2344
2,9758,3,0,3,0,299,3,32,28,7,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,299,2,36,33,10,0,0,0,0,0,1,0,0,0,0,0,0,1,2338,2344
3,9758,4,0,5,0,278,3,29,22,3,0,0,20,2,0,1,0,0,0,0,0,0,20,0,0,0,278,1,28,27,6,0,0,0,0,0,0,0,0,0,0,0,2,20,2338,2344
4,9758,5,0,2,0,292,3,31,24,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,292,8,39,30,7,0,0,6,1,0,5,0,0,0,0,0,0,0,2338,2344
0,6506,1,0,1,0,210,0,22,22,5,0,5,76,1,7,0,7,0,0,0,0,1,14,0,0,0,210,0,25,25,5,0,21,14,0,24,0,24,0,1,0,0,0,14,2338,2350
1,6506,2,0,1,1,234,1,51,50,13,0,0,65,1,0,0,0,0,0,0,0,0,0,0,0,0,234,0,25,25,10,0,0,0,0,0,0,0,0,0,0,0,1,0,2338,2350
2,6506,3,0,8,0,274,4,51,47,6,0,1,14,2,1,2,1,0,0,0,0,0,0,0,0,0,274,1,36,35,11,0,0,0,0,0,1,0,0,0,0,0,2,0,2338,2350
0,6632,1,0,3,0,164,0,27,27,9,0,2,135,1,4,0,4,0,0,0,0,0,0,0,0,1,164,1,34,33,11,0,2,0,0,2,0,2,0,0,0,0,1,0,2338,2465
1,6632,2,0,5,0,196,4,25,21,8,0,7,92,1,7,3,7,0,0,0,0,0,0,0,0,0,196,2,41,39,10,0,3,0,0,3,2,3,0,0,0,0,1,0,2338,2465
2,6632,3,0,6,0,158,2,21,19,6,0,0,142,4,3,1,11,0,0,0,0,0,0,0,0,0,158,1,38,37,9,0,0,0,0,0,0,1,1,0,0,1,4,0,2338,2465
0,8003,1,0,4,0,209,8,35,24,7,0,1,75,2,1,7,1,0,0,0,0,0,0,0,1,0,209,4,40,36,15,0,0,0,0,1,2,1,0,0,0,0,2,0,2338,2814
1,8003,2,0,3,0,92,2,7,4,1,0,9,201,2,11,2,11,0,0,0,0,1,4,0,0,0,92,1,19,18,4,0,1,4,0,1,1,1,0,1,0,0,1,4,2338,2814
2,8003,3,0,4,0,160,4,26,20,9,0,0,136,0,0,2,0,0,1,0,0,0,4,0,0,1,160,1,35,34,14,0,7,4,0,7,1,7,0,0,0,0,1,4,2338,2814
