,fight_id,round,SSHA_blue,TDL_blue,SML_blue,RVL_blue,SGA_blue,SGHL_blue,SSBL_blue,SSHL_blue,TDA_blue,KOL_blue,SUL_blue,GRC_blue,SSBA_blue,FT_blue,KDL_blue,SGBA_blue,SGBL_blue,SGHA_blue,ST_blue,SMA_blue,SSA_blue,SSHA_red,TDL_red,SML_red,RVL_red,SGA_red,SGHL_red,SSBL_red,SSHL_red,TDA_red,KOL_red,SUL_red,GRC_red,SSBA_red,FT_red,KDL_red,SGBA_red,SGBL_red,SGHA_red,ST_red,SMA_red,SSA_red,blue,red
0,9376,1,53,0,0,0,13,11,1,21,0,0,0,94,1,3,0,0,0,13,195,0,66,29,0,0,0,0,0,6,10,0,0,0,3,11,3,0,0,0,0,195,1,47,3653,3758
1,9376,2,29,1,0,0,7,7,2,15,2,0,0,140,4,0,0,0,0,7,83,0,35,22,0,0,0,0,0,2,9,0,0,1,0,2,0,0,0,0,0,83,0,24,3653,3758
2,9376,3,25,1,1,0,1,0,1,11,1,0,0,94,1,0,0,1,1,0,75,2,28,12,0,0,0,0,0,4,6,1,0,0,0,5,0,0,0,0,0,75,0,18,3653,3758
0,11425,1,28,0,0,0,0,0,3,12,0,0,0,0,5,0,0,0,0,0,201,0,42,42,0,0,0,4,3,0,26,0,1,0,2,1,0,1,0,0,4,201,0,48,3653,3857
0,10758,1,7,0,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,181,0,22,36,0,0,0,0,0,3,9,0,1,0,0,5,0,1,0,0,0,181,0,45,3653,3874
0,10358,1,20,0,0,0,0,0,3,10,1,0,3,1,3,1,0,0,0,0,165,0,23,18,3,0,0,0,0,2,11,5,0,0,49,3,1,0,0,0,0,165,0,24,3653,3946
1,10358,2,12,0,0,0,1,0,0,6,0,0,5,12,0,15,0,0,0,1,63,0,13,12,4,0,0,10,5,1,6,5,0,0,167,1,15,1,0,0,10,63,0,13,3653,3946
2,10358,3,6,0,0,0,0,0,2,3,0,0,1,0,2,0,0,0,0,0,43,0,9,2,1,0,0,9,8,0,1,3,0,0,251,0,0,0,1,1,8,43,0,2,3653,3946
0,11253,1,15,0,0,0,0,0,4,4,0,0,2,0,4,0,0,0,0,0,104,0,27,7,2,0,0,7,7,0,2,2,0,0,180,1,0,0,0,0,7,104,0,11,3653,4093
1,11253,2,42,0,0,0,0,0,8,19,0,0,1,0,9,0,0,0,0,0,242,0,56,27,1,0,0,0,0,3,9,1,0,0,43,4,0,0,0,0,0,242,0,35,3653,4093
2,11253,3,13,0,0,1,0,0,4,4,0,0,1,32,4,32,0,0,0,0,83,0,19,7,1,0,1,2,1,3,0,2,0,0,181,3,32,0,0,0,2,83,0,12,3653,4093
0,9722,1,17,0,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,300,0,24,17,0,0,0,0,0,11,8,0,0,0,0,11,0,0,0,0,0,300,0,29,3678,3682
1,9722,2,18,0,0,0,0,0,3,5,0,0,0,0,4,0,0,0,0,0,283,0,24,25,0,0,0,0,0,12,13,0,0,0,0,13,0,0,0,0,0,283,0,38,3678,3682
2,9722,3,3,0,0,0,0,0,0,3,0,0,1,0,0,15,0,0,0,0,83,0,4,7,0,0,0,7,4,2,5,0,0,0,15,2,15,1,0,0,7,83,0,9,3678,3682
0,11833,1,2,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,23,0,2,2,1,1,0,0,0,0,0,2,0,0,54,0,54,0,0,0,0,23,1,3,2997,4093
0,11477,1,0,2,1,0,1,1,0,0,3,0,0,214,0,214,0,0,0,1,82,1,3,7,0,0,0,0,0,1,4,0,0,1,0,1,214,0,0,0,0,82,0,8,4093,3702
