,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
0,10505,1,8,0,0,0,0,59,0,0,240,0,0,0,0,0,0,12,9,8,0,0,50,8,0,0,8,12,60,1,0,240,15,1,0,0,0,15,14,11,6,1,0,46,1340,2994
0,8272,1,0,0,0,6,10,15,1,1,63,10,1,0,1,0,11,2,1,0,0,0,14,0,0,0,0,0,11,0,0,63,0,0,0,0,0,0,3,2,2,0,0,7,1340,3014
0,9731,1,93,0,3,8,9,21,1,0,80,16,1,0,0,0,16,5,2,2,1,0,18,93,0,0,93,16,37,1,0,80,24,0,2,0,0,24,17,4,3,3,0,33,1340,3345
0,9888,1,141,0,1,0,0,36,0,0,159,0,0,0,0,0,0,7,5,3,0,0,29,141,0,0,141,3,16,0,0,159,4,0,1,0,0,6,5,1,1,1,0,15,1340,3520
1,9888,2,0,0,0,4,1,94,0,0,296,1,0,0,0,0,1,23,13,11,0,0,78,0,0,0,0,0,37,0,0,296,1,0,0,0,0,1,13,6,6,1,0,30,1340,3520
2,9888,3,0,0,0,0,1,19,1,0,90,1,1,0,0,0,1,6,6,6,0,0,12,0,0,0,0,0,8,0,0,90,0,0,0,0,0,0,3,1,1,1,0,5,1340,3520
0,11936,1,0,0,0,0,0,9,0,0,95,0,0,0,0,0,0,2,3,0,0,0,5,0,0,0,10,16,9,1,0,95,16,1,0,0,0,16,5,2,2,0,0,7,1340,3733
0,7435,1,5,1,0,13,0,54,0,0,282,0,0,0,0,1,0,18,10,5,1,0,41,5,0,1,5,0,44,1,0,282,1,0,0,0,0,1,6,4,3,3,0,33,2994,2784
1,7435,2,7,0,1,10,0,52,0,0,265,0,0,1,0,0,0,8,6,2,4,0,42,7,1,1,7,2,70,1,0,265,2,0,0,0,0,2,21,11,8,0,0,55,2994,2784
2,7435,3,7,0,1,3,0,70,0,0,286,0,0,1,0,0,0,17,10,3,1,0,51,7,0,1,7,0,47,0,0,286,0,0,1,0,0,0,9,9,5,2,0,33,2994,2784
0,9162,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,7,3,1,0,0,0,3,2,0,0,0,0,2,2994,3345
0,11587,1,92,1,0,92,0,22,0,0,128,0,0,1,0,1,0,2,7,6,3,0,14,92,0,1,28,1,25,0,0,128,4,0,0,0,1,4,11,6,5,0,0,18,2994,3423
1,11587,2,0,0,1,0,0,32,0,0,230,0,0,0,0,0,0,5,5,1,0,0,25,0,1,0,43,3,51,0,0,230,4,0,1,0,0,4,25,6,4,1,0,43,2994,3423
2,11587,3,2,0,3,0,0,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,68,2,8,1,0,44,2,1,3,0,0,2,2,2,2,3,0,6,2994,3423
0,7248,1,0,0,0,0,0,52,0,0,295,0,0,0,0,0,0,18,6,4,1,0,44,0,0,0,0,0,47,0,0,295,0,0,0,0,0,0,8,8,6,1,0,38,3014,2822
1,7248,2,0,0,0,10,3,62,1,0,290,7,0,0,0,0,7,26,2,1,0,0,59,0,0,1,0,0,92,0,0,290,0,0,0,0,0,0,10,9,7,0,0,82,3014,2822
2,7248,3,0,0,0,17,5,67,0,0,280,10,0,0,0,0,10,27,3,2,1,0,60,0,0,0,0,0,81,0,0,280,0,0,0,0,0,0,10,7,7,3,0,74,3014,2822
0,11877,1,0,0,0,0,0,64,0,0,300,0,0,0,0,0,0,21,13,11,0,0,50,0,0,0,0,0,107,0,0,300,0,0,0,0,0,0,28,7,3,0,0,94,3014,3845
1,11877,2,0,0,0,0,0,104,0,0,300,0,0,0,0,0,0,39,11,8,0,0,91,0,0,0,0,0,183,0,0,300,0,0,0,0,0,0,53,10,6,0,0,170,3014,3845
2,11877,3,0,0,0,49,0,105,0,0,251,0,0,1,0,0,0,43,10,7,5,0,92,0,0,1,0,0,143,0,0,251,0,0,0,0,0,0,39,10,8,0,0,131,3014,3845
0,11855,1,8,1,0,60,46,18,0,0,53,51,1,0,0,1,51,7,2,1,0,0,16,8,0,0,8,0,13,0,0,53,0,0,1,0,0,0,3,3,0,2,0,9,3345,2758
0,9688,1,4,1,0,123,2,1,0,1,4,2,0,0,1,0,3,0,1,0,0,1,0,4,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3345,3423
0,10823,1,0,0,0,3,3,44,0,0,82,3,1,0,0,0,3,20,11,7,2,0,33,0,0,0,0,0,5,0,0,82,0,0,0,0,0,0,0,1,1,1,0,4,3345,3515
