,fight_id,round,KOL_blue,TDA_blue,SMA_blue,ST_blue,SSBA_blue,SSA_blue,SSHA_blue,SSHL_blue,SML_blue,SGHL_blue,GRC_blue,TDL_blue,SGHA_blue,SSBL_blue,SGA_blue,SGBA_blue,RVL_blue,KDL_blue,SGBL_blue,SUL_blue,FT_blue,KOL_red,TDA_red,SMA_red,ST_red,SSBA_red,SSA_red,SSHA_red,SSHL_red,SML_red,SGHL_red,GRC_red,TDL_red,SGHA_red,SSBL_red,SGA_red,SGBA_red,RVL_red,KDL_red,SGBL_red,SUL_red,FT_red,blue,red
0,9775,1,0,0,0,278,23,86,51,14,0,3,22,0,3,17,4,1,0,1,1,0,0,0,1,0,278,10,37,24,8,0,0,0,0,0,3,0,0,0,0,0,1,0,2137,2166
1,9775,2,0,1,0,262,17,87,66,14,0,0,6,0,0,10,0,0,0,0,0,0,32,0,1,0,262,20,88,65,34,0,3,32,0,5,16,5,0,0,0,0,0,32,2137,2166
2,9775,3,1,0,0,42,1,15,9,2,0,3,7,0,5,1,5,0,0,0,0,0,0,0,1,0,42,1,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,2166
0,5906,1,0,1,0,113,2,14,9,4,0,7,111,0,7,2,15,1,1,0,1,0,57,0,2,0,113,6,14,7,0,0,2,57,1,3,3,3,0,0,0,0,1,57,2137,2359
1,5906,2,0,2,0,109,9,39,29,17,0,5,151,1,9,7,11,1,0,0,1,0,0,0,2,0,109,6,17,11,3,0,1,0,0,3,5,3,0,0,0,0,1,0,2137,2359
2,5906,3,0,2,0,97,4,27,21,12,0,1,179,0,1,2,3,1,0,0,1,0,0,0,2,0,97,7,25,18,2,0,1,0,0,4,5,4,0,0,0,0,0,0,2137,2359
3,9189,1,0,0,0,273,24,84,50,12,0,0,0,0,0,19,0,0,0,0,0,1,0,0,1,0,273,13,52,29,11,0,0,21,1,0,9,0,0,0,0,0,0,0,2137,2359
4,9189,2,0,1,0,123,14,51,35,14,0,5,114,1,6,10,6,0,0,0,0,1,117,0,0,0,123,12,53,36,17,0,8,39,0,12,11,14,2,1,0,2,0,117,2137,2359
5,9189,3,0,1,0,72,4,26,22,7,0,1,0,0,1,3,1,0,0,0,0,1,0,0,1,3,72,4,25,21,14,0,12,224,1,15,3,18,3,0,0,3,0,0,2137,2359
0,8524,1,0,1,0,203,6,41,28,4,0,3,51,1,5,4,5,0,0,0,0,1,51,0,1,0,203,8,43,32,7,0,2,46,0,4,3,4,0,0,1,0,1,51,2137,2977
