,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
0,6851,1,0,0,0,0,0,30,0,0,219,0,0,0,0,0,0,7,1,0,2,0,23,0,0,0,0,0,47,0,0,219,0,0,0,0,0,0,10,4,3,0,0,36,449,1546
1,6851,2,1,0,0,1,0,53,0,0,268,0,0,0,0,0,0,12,3,1,2,0,43,1,0,0,1,0,45,0,0,268,0,0,0,0,0,0,14,2,1,0,0,36,449,1546
2,6851,3,41,0,1,0,0,48,0,0,181,1,0,0,0,0,1,12,1,0,3,0,45,41,0,0,41,4,37,1,0,181,6,0,0,0,0,7,15,0,0,0,0,29,449,1546
0,6331,1,94,1,1,56,0,5,0,0,90,0,0,1,0,0,0,2,1,0,2,0,4,94,0,0,94,1,19,0,0,90,1,0,0,0,1,1,4,6,1,0,0,13,449,2122
1,6331,2,176,0,1,0,0,4,0,0,87,0,0,0,0,0,0,0,0,0,4,0,4,176,0,0,176,13,15,0,0,87,20,0,1,0,0,20,3,3,2,1,0,11,449,2122
2,6331,3,171,0,0,3,0,5,0,0,112,0,0,0,0,0,0,2,0,0,2,0,4,171,0,0,171,14,10,0,0,112,18,0,0,0,0,18,2,1,1,1,0,9,449,2122
0,7174,1,77,0,3,29,0,7,0,0,78,0,0,1,0,0,0,1,0,0,7,0,3,77,0,1,77,3,26,0,0,78,5,0,3,0,0,5,4,6,4,3,0,14,449,2775
1,7174,2,0,2,0,270,4,3,0,0,18,7,0,1,0,0,7,0,1,1,1,0,1,0,0,1,0,0,5,0,0,18,0,0,0,0,0,0,1,0,0,0,0,4,449,2775
2,7174,3,94,1,0,31,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,94,1,1,34,16,1,0,0,6,19,1,0,0,0,19,1,0,0,0,0,1,449,2775
0,5336,1,4,0,0,0,0,7,0,0,40,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,3,11,1,0,40,3,1,0,0,0,3,6,1,0,0,0,9,1546,2037
0,9212,1,0,0,1,0,0,39,0,0,235,0,0,0,0,0,0,15,4,3,0,0,30,0,0,0,2,0,43,0,0,235,0,0,1,0,0,0,8,2,2,4,0,40,1546,2104
