,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
2,6248,3,0,0,0,0,0,45,0,0,224,0,0,0,0,0,0,9,15,9,1,0,24,0,0,0,0,0,38,0,0,224,0,0,0,0,0,0,10,11,7,0,0,27,2168,2158
0,8959,1,147,0,0,144,7,40,0,0,147,11,0,1,0,0,11,17,3,3,4,0,35,147,0,1,6,0,39,0,0,147,0,0,0,0,0,0,17,6,4,1,0,32,2168,2208
1,8959,2,195,0,0,188,1,15,0,1,89,6,0,3,0,0,7,6,2,1,5,0,11,195,0,3,3,0,22,0,1,89,1,0,0,1,0,2,10,3,3,0,0,19,2168,2208
2,8959,3,39,0,1,38,0,43,0,0,225,0,0,1,0,0,0,15,6,6,6,0,35,39,0,0,36,3,53,0,0,225,5,0,0,0,1,5,13,5,2,0,0,47,2168,2208
0,8599,1,0,0,0,27,0,64,1,0,161,0,1,0,0,0,0,30,4,3,2,0,57,0,0,0,0,0,18,0,0,161,0,0,0,0,0,0,4,4,3,1,0,12,2168,2558
0,8333,1,0,2,0,12,0,9,0,0,41,0,0,1,0,0,0,3,2,2,3,0,7,0,0,1,0,0,6,0,0,41,0,0,0,0,0,0,4,0,0,0,0,6,2168,2854
1,8333,2,0,0,0,2,0,11,1,0,57,0,1,0,0,0,0,5,1,1,0,0,9,0,0,0,0,0,19,0,0,57,0,0,0,0,0,0,8,0,0,0,0,16,2168,2854
0,8182,1,42,1,0,42,0,18,0,0,79,0,0,2,0,0,0,8,3,3,2,1,13,42,0,1,0,0,9,0,0,79,0,0,0,0,0,0,1,2,2,0,0,7,2168,2905
0,7151,1,1,0,0,0,0,11,0,0,40,0,0,0,0,0,0,2,3,1,0,0,7,1,0,0,1,2,11,1,0,40,2,1,0,0,0,2,3,3,3,0,0,8,2168,3058
0,7506,1,0,0,0,160,12,10,0,0,53,18,0,1,0,0,21,1,4,4,4,0,6,0,3,1,0,0,6,0,0,53,0,0,0,0,0,0,1,4,3,2,0,2,2168,3188
